model,nhid/emsize,batch_size,dropout,lr,epochs
RNN_RELU,650,64,0.0,0.5,60
RNN_RELU,650,64,0.0,1.0,60
RNN_RELU,650,64,0.0,5.0,60
RNN_RELU,650,64,0.0,10.0,60
RNN_RELU,650,64,0.1,0.5,60
RNN_RELU,650,64,0.1,1.0,60
RNN_RELU,650,64,0.1,5.0,60
RNN_RELU,650,64,0.1,10.0,60
RNN_RELU,650,64,0.2,0.5,60
RNN_RELU,650,64,0.2,1.0,60
RNN_RELU,650,64,0.2,5.0,60
RNN_RELU,650,64,0.2,10.0,60
RNN_RELU,650,128,0.0,0.5,60
RNN_RELU,650,128,0.0,1.0,60
RNN_RELU,650,128,0.0,5.0,60
RNN_RELU,650,128,0.0,10.0,60
RNN_RELU,650,128,0.1,0.5,60
RNN_RELU,650,128,0.1,1.0,60
RNN_RELU,650,128,0.1,5.0,60
RNN_RELU,650,128,0.1,10.0,60
RNN_RELU,650,128,0.2,0.5,60
RNN_RELU,650,128,0.2,1.0,60
RNN_RELU,650,128,0.2,5.0,60
RNN_RELU,650,128,0.2,10.0,60
RNN_TANH,650,64,0.0,0.5,60
RNN_TANH,650,64,0.0,1.0,60
RNN_TANH,650,64,0.0,5.0,60
RNN_TANH,650,64,0.0,10.0,60
RNN_TANH,650,64,0.1,0.5,60
RNN_TANH,650,64,0.1,1.0,60
RNN_TANH,650,64,0.1,5.0,60
RNN_TANH,650,64,0.1,10.0,60
RNN_TANH,650,64,0.2,0.5,60
RNN_TANH,650,64,0.2,1.0,60
RNN_TANH,650,64,0.2,5.0,60
RNN_TANH,650,64,0.2,10.0,60
RNN_TANH,650,128,0.0,0.5,60
RNN_TANH,650,128,0.0,1.0,60
RNN_TANH,650,128,0.0,5.0,60
RNN_TANH,650,128,0.0,10.0,60
RNN_TANH,650,128,0.1,0.5,60
RNN_TANH,650,128,0.1,1.0,60
RNN_TANH,650,128,0.1,5.0,60
RNN_TANH,650,128,0.1,10.0,60
RNN_TANH,650,128,0.2,0.5,60
RNN_TANH,650,128,0.2,1.0,60
RNN_TANH,650,128,0.2,5.0,60
RNN_TANH,650,128,0.2,10.0,60
